date,state,value
2021-06-28,New England,3.2261486293352206
2021-06-28,New York State,3.3011753416453424
2021-06-28,New York City,3.2904572398867535
2021-07-05,Central Atlantic,3.3584114282599735
2021-07-05,New England,3.2618436875112846
2021-07-05,New York State,3.3369519303158204
2021-07-05,New York City,3.3154924323716672
2021-07-12,Central Atlantic,3.3691411772320508
2021-07-12,New England,3.272573436483361
2021-07-12,New York State,3.347681679287897
2021-07-12,New York City,3.326222181343744
2021-07-19,Central Atlantic,3.390600675176204
2021-07-19,New England,3.272573436483361
2021-07-19,New York State,3.3584114282599735
2021-07-19,New York City,3.347681679287897
2021-07-26,Central Atlantic,3.390600675176204
2021-07-26,New England,3.272573436483361
2021-07-26,New York State,3.347681679287897
2021-07-26,New York City,3.347681679287897
2021-08-02,Central Atlantic,3.4184346793591605
2021-08-02,New England,3.268409332929605
2021-08-02,New York State,3.375570294665002
2021-08-02,New York City,3.364854198491462
2021-08-09,Central Atlantic,3.407718583185621
2021-08-09,New England,3.2791254291031446
2021-08-09,New York State,3.3541381023179224
2021-08-09,New York City,3.343422006144383
2021-08-16,Central Atlantic,3.407718583185621
2021-08-16,New England,3.2791254291031446
2021-08-16,New York State,3.375570294665002
2021-08-16,New York City,3.343422006144383
2021-08-23,Central Atlantic,3.3970024870120814
2021-08-23,New England,3.2791254291031446
2021-08-23,New York State,3.364854198491462
2021-08-23,New York City,3.332705909970843
2021-08-30,Central Atlantic,3.407718583185621
2021-08-30,New England,3.2791254291031446
2021-08-30,New York State,3.3970024870120814
2021-08-30,New York City,3.3541381023179224
2021-09-06,Central Atlantic,3.4323542749620968
2021-09-06,New England,3.2937809657244963
2021-09-06,New York State,3.443013760288066
2021-09-06,New York City,3.4110353043101584
2021-09-13,Central Atlantic,3.4323542749620968
2021-09-13,New England,3.304440451050466
2021-09-13,New York State,3.4323542749620968
2021-09-13,New York City,3.400375818984189
2021-09-20,Central Atlantic,3.4536732456140355
2021-09-20,New England,3.304440451050466
2021-09-20,New York State,3.443013760288066
2021-09-20,New York City,3.4110353043101584
2021-09-27,Central Atlantic,3.4536732456140355
2021-09-27,New England,3.304440451050466
2021-09-27,New York State,3.4323542749620968
2021-09-27,New York City,3.400375818984189
2021-10-04,Central Atlantic,3.4422103942362186
2021-10-04,New England,3.293472908065518
2021-10-04,New York State,3.4103380757710684
2021-10-04,New York City,3.3784657573059182
2021-10-11,Central Atlantic,3.537827349631669
2021-10-11,New England,3.3997139696160183
2021-10-11,New York State,3.516579137321569
2021-10-11,New York City,3.463458606546318
2021-10-18,Central Atlantic,3.6121960927170194
2021-10-18,New England,3.516579137321569
2021-10-18,New York State,3.6121960927170194
2021-10-18,New York City,3.559075561941769
2021-10-25,Central Atlantic,3.6971889419574198
2021-10-25,New England,3.5909478804069193
2021-10-25,New York State,3.6971889419574198
2021-10-25,New York City,3.6546925173372196
2021-11-01,Central Atlantic,3.6845372953712734
2021-11-01,New England,3.5998352885811293
2021-11-01,New York State,3.6951250462200416
2021-11-01,New York City,3.642186291976201
2021-11-08,Central Atlantic,3.6845372953712734
2021-11-08,New England,3.6315985411274334
2021-11-08,New York State,3.6951250462200416
2021-11-08,New York City,3.6315985411274334
2021-11-15,Central Atlantic,3.7057127970688093
2021-11-15,New England,3.6210107902786652
2021-11-15,New York State,3.7057127970688093
2021-11-15,New York City,3.642186291976201
2021-11-22,Central Atlantic,3.7057127970688093
2021-11-22,New England,3.6210107902786652
2021-11-22,New York State,3.7057127970688093
2021-11-22,New York City,3.642186291976201
2021-11-29,Central Atlantic,3.6951250462200416
2021-11-29,New England,3.6315985411274334
2021-11-29,New York State,3.7057127970688093
2021-11-29,New York City,3.642186291976201
2021-12-06,Central Atlantic,3.671074394084853
2021-12-06,New England,3.618024186077847
2021-12-06,New York State,3.660464352483452
2021-12-06,New York City,3.596804102875044
2021-12-13,Central Atlantic,3.660464352483452
2021-12-13,New England,3.6074141444764454
2021-12-13,New York State,3.660464352483452
2021-12-13,New York City,3.6074141444764454
2021-12-20,Central Atlantic,3.6498543108820507
